m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,10,32767,32617,0,0.0794603,0.0787927,1,115,563.348,4039.1
15,10,32767,32617,1,0.0568157,0.0564944,1,115,516.652,4242.35
15,10,32767,32617,2,0.037969,0.0374038,1,115,500.47,3958.07
15,10,32767,32617,3,0.0232604,0.0228828,1,114,484.088,3902.45
15,10,32767,32617,4,0.0125211,0.0122329,1,115,495.017,4036.27
15,10,32767,32617,5,0.00605552,0.00580679,1,115,481.635,3878.23
15,10,32767,32617,6,0.00251536,0.00231994,1,115,477.348,4031.39
15,10,32767,32617,7,0.000816592,0.00074781,1,115,478.157,3957.45
15,10,32767,32617,8,2.10661e-05,0.000184696,0.0530928,1940,500.429,3600.19
15,10,32767,32617,9,0,3.39499e-05,0,61037,485.569,2783.99
