m,t,n,k,ebno_db,ber,ber_uncoded,fer,frames,avg_enc_us,avg_dec_us
4,2,15,7,0,0.119835,0.0755608,0.413223,242,0.053719,0.533058
4,2,15,7,1,0.0947846,0.0589569,0.320635,315,0.00634921,0.787302
4,2,15,7,2,0.0599807,0.0406321,0.225734,443,0.00451467,0.758465
4,2,15,7,3,0.0347809,0.0257418,0.137552,727,0.00275103,0.683631
4,2,15,7,4,0.0164871,0.0125527,0.0655738,1525,0.0118033,0.469508
4,2,15,7,5,0.00540965,0.00550032,0.0211551,4727,0.00550032,2.09097
4,2,15,7,6,0.00166345,0.00221793,0.00606465,16489,0.493359,0.256899
4,2,15,7,7,0.000372695,0.000749649,0.00149078,67079,0.641095,0.792588
4,2,15,7,8,5.07983e-05,0.000186641,0.000199769,500579,0.543874,0.504997
4,2,15,7,9,5.85714e-06,3.34286e-05,2.1e-05,1000000,0.504696,0.401579
4,2,15,7,10,1.42857e-07,5.42857e-06,1e-06,1000000,0.608036,0.453082
4,2,15,7,11,0,4.28571e-07,0,1000000,1.05817,0.688198
