m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,15,2047,1882,0,0.0872199,0.0798364,1,115,25.6174,263.017
11,15,2047,1882,1,0.0642101,0.0576537,1,115,25.6087,245.07
11,15,2047,1882,2,0.0427205,0.0387423,1,115,32.2696,270.165
11,15,2047,1882,3,0.0261101,0.023518,1,115,25.8696,242.226
11,15,2047,1882,4,0.0151273,0.0129187,1,115,25.8522,267.183
11,15,2047,1882,5,0.0058172,0.00637005,0.606936,173,25.6185,235.231
11,15,2047,1882,6,2.2281e-05,0.00239261,0.00256059,39444,29.4385,215.372
11,15,2047,1882,7,0,0.000773582,0,977039,31.6535,192.018
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,25,2047,1772,0,0.0952302,0.0784572,1,115,29.4696,465.704
11,25,2047,1772,1,0.0711797,0.0573707,1,115,31.913,568.157
11,25,2047,1772,2,0.0513151,0.0376386,1,115,30.1739,535.261
11,25,2047,1772,3,0.0331436,0.0238296,1,115,31.9304,557.47
11,25,2047,1772,4,0.0205957,0.0123074,1,115,35.4348,600.826
11,25,2047,1772,5,0.00150678,0.00577222,0.10664,994,38.2988,449.897
11,25,2047,1772,6,4.33197e-08,0.00238812,3.0705e-06,977039,31.8484,340.916
11,25,2047,1772,7,0,0.000774651,0,977039,31.3669,287.706
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,40,2047,1618,0,0.105541,0.0787714,1,115,31.1565,780.47
11,40,2047,1618,1,0.0792014,0.0560004,1,115,29.7391,716.417
11,40,2047,1618,2,0.0580857,0.036626,1,115,31.0174,765.243
11,40,2047,1618,3,0.0401462,0.0228086,1,115,29.5913,777.878
11,40,2047,1618,4,0.0217282,0.0129886,0.875,128,30.4922,743.594
11,40,2047,1618,5,6.39469e-05,0.00591792,0.00304044,32890,32.4639,634.527
11,40,2047,1618,6,0,0.00239579,0,977039,30.8611,492.603
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
11,7,2047,1970,0,0.0808665,0.0797221,1,114,24.2544,119.447
11,7,2047,1970,1,0.0598234,0.0559126,1,115,26.5391,134.722
11,7,2047,1970,2,0.0414301,0.0382476,1,115,39.8609,127.565
11,7,2047,1970,3,0.0260031,0.0229309,1,115,26.1043,126.217
11,7,2047,1970,4,0.0152373,0.0124961,1,115,26.7739,155.461
11,7,2047,1970,5,0.00712848,0.00616576,0.991379,116,26.5517,179.707
11,7,2047,1970,6,0.000973091,0.00252631,0.194981,518,30.3803,126.521
11,7,2047,1970,7,3.34055e-06,0.000780021,0.000738596,135392,27.0086,89.435
11,7,2047,1970,8,5.71498e-09,0.000190885,1.0235e-06,977039,27.0169,72.6372
11,7,2047,1970,9,0,3.33557e-05,0,977039,27.0696,65.9571
m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
15,10,32767,32617,0,0.0794603,0.0787927,1,115,563.348,4039.1
15,10,32767,32617,1,0.0568157,0.0564944,1,115,516.652,4242.35
