m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,39,127,1,0,0.462963,0.111111,1,108,0.62037,41.3056
7,39,127,1,1,0.5,0.172131,1,122,2.22951,61.8033
7,39,127,1,2,0.430894,0.170732,1,123,0.861789,77.7236
7,39,127,1,3,0.377049,0.0819672,1,122,0.663934,61.9754
7,39,127,1,4,0.414634,0.0650407,1,123,0.821138,61.8293
7,39,127,1,5,0.211382,0.097561,1,123,0.666667,57.7236
7,39,127,1,6,0.237705,0.106557,1,122,0.508197,54.8115
7,39,127,1,7,0.222222,0,0.854167,144,0.5,54.1875
7,39,127,1,8,0.178082,0,0.842466,146,0.445205,54.2808
7,39,127,1,9,0.207792,0,0.772727,154,0.564935,55.013
7,39,127,1,10,0.16,0,0.59,200,0.38,52.475
7,39,127,1,11,0.158798,0,0.459227,233,0.317597,52.5923
7,39,127,1,12,0.152672,0,0.408397,262,0.316794,51.958
